Model,Alpha,Alpha_t_stat,R_squared,MKT_beta,MKT_t_stat,SMB_beta,SMB_t_stat,HML_beta,HML_t_stat,MOM_beta,MOM_t_stat,P_value_Alpha
Black-Litterman,-0.0001695060238104262,-1.212906681676729,0.6345656615404243,0.8211810101889879,65.1337697045828,-0.07733749421170569,-3.474871485516178,0.05632809820570887,3.401525148495083,0.0046162553539320006,0.33242199180801624,0.22527793677117497
Markowitz,-0.0002927959300161854,-1.418379966740573,0.4860111365350772,0.9039816025996803,48.54139014442056,-0.11382020937837864,-3.462209407153864,0.061358331629992456,2.5084615076924623,0.06376945571291233,3.1088368730257545,0.15620215444383997
