,000651.SZ,000333.SZ,000858.SZ,002594.SZ,300750.SZ,600276.SS,600309.SS,300059.SZ
2019-06-28,0.0,1.0432443215903586e-16,0.3873614188790796,0.0,0.6126385811209206,0.0,3.2938292954256486e-16,1.5869563810032904e-17
2019-09-26,0.20546954620918298,3.9857335018589527e-17,0.6930095956039066,1.041392028413709e-16,0.0,0.10152085818691017,1.203828028952728e-16,0.0
2019-12-31,0.16602936356332818,7.629179508069463e-17,0.4331106506031657,0.0,0.04700803275776458,0.19538542970704176,0.15846652336870012,0.0
2020-04-08,0.0,2.8213132547311925e-16,0.15688257484904325,1.364073922143652e-16,0.2142208243407045,0.6288966008102527,0.0,0.0
2020-07-13,2.698833317200597e-16,0.0,0.11349267974733508,0.0,0.38776586435965005,0.34942475214337243,0.0,0.1493167037496422
2020-10-16,2.47248070270583e-16,0.0,0.15877014280316523,0.2523590775339408,0.4080497604390226,0.0,0.16610762843736157,0.014713390786509512
2021-01-14,2.824909539187969e-16,0.03920781406229226,0.20784976304532285,0.37873771791890914,0.13047841712839114,0.019241826893097197,0.10879637668839515,0.115688084263592
2021-04-21,0.0,0.03989117885210312,0.20360762367665802,0.22234349385143704,0.14235363077424207,0.0,0.389562386340935,0.002241686504625307
2021-07-23,0.0,3.228144932109256e-16,7.55567423577051e-17,0.26209344597325474,0.28931171959361446,0.0,0.4485948344331309,1.6126742848091237e-16
2021-10-29,9.615198956442816e-17,0.0,2.7112999063032938e-17,0.31611570692986113,0.5989477722737229,3.073960570441814e-16,0.08493652079641617,0.0
2022-01-27,3.3029134982598407e-15,7.494005416219807e-16,3.608224830031759e-16,0.0,0.9999999999999949,7.93809462606987e-15,0.0,0.0
2022-05-10,4.996003610813204e-16,9.020562075079397e-16,6.661338147750939e-16,0.9999999999999989,0.0,9.159339953157541e-16,6.106226635438361e-16,0.0
2022-08-08,1.0130785099704553e-15,2.0816681711721685e-16,0.0,1.0,0.0,4.3021142204224816e-16,0.0,3.608224830031759e-16
2022-11-11,1.734723475976807e-15,1.1403632785824979e-16,0.0,0.9999999999999976,0.0,1.4774549943804676e-15,2.9751375762070986e-16,0.0
2023-02-16,1.7442546537968262e-15,0.0,0.0,0.3452288210108686,0.0,0.16888823601890857,0.4858829429702291,0.0
2023-05-22,0.1429849613001267,7.60381641969862e-17,0.0,0.034740422207326885,0.05817389187178461,0.7641007246207616,0.0,2.9502543563313623e-16
2023-08-21,0.6772142261709503,1.107831913601388e-15,3.4399560524973036e-16,1.282457693516464e-17,1.4479937151653768e-16,0.08427116168360231,0.23851461214544692,0.0
2023-11-24,0.0,0.7037061351108532,2.5958563888303473e-16,3.803351524628266e-16,0.0,0.2962938648891466,1.4552392954538274e-16,2.1615562452681667e-16
2024-03-01,0.15122973641385487,0.8487702635861476,0.0,0.0,0.0,1.402131845701186e-15,8.326218837422294e-16,0.0
2024-06-05,0.354932695789463,0.6450673042105373,0.0,0.0,0.0,3.5398982275700274e-17,2.590411957283292e-16,0.0
2024-09-03,0.27454474770439363,0.5464185958827142,0.0,4.051283891074329e-16,0.0,0.17903665641289435,0.0,0.0
2024-12-10,0.08036105859876504,0.5698956345303736,4.839759913362676e-16,0.0,0.09643251683847445,1.0104425434386e-16,5.461300133901892e-16,0.2533107900323859
