Model,Sharpe,Alpha,Turnover,Max Drawdown
Black-Litterman,0.3982827831242893,-0.00016950591573439264,0.0006201467632399379,-0.35120118383301
Markowitz,0.23770645374773802,-0.00029279579589236557,0.012095422142265437,-0.556342466215959
