Model,Alpha,Alpha_t_stat,R_squared,MKT_beta,SMB_beta,HML_beta,MOM_beta,P_value_Alpha
Black-Litterman,-0.00016950591573439264,-1.2129051220978662,0.6345653023190904,0.8211808541559101,-0.07733700970520126,0.05632820338235171,0.004616184874476337,0.22527853300620598
Markowitz,-0.00029279579589236557,-1.418378970324503,0.48601081134927593,0.9039811727906821,-0.11381940065069082,0.06135833680455353,0.06376933980492697,0.15620244516876927
