,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,ITC.NS,LT.NS
2011-01-06,0.15431585798585662,0.0837893279248816,0.0,2.25968560927611e-17,0.39535832570163965,0.0,3.963792320630169e-16,0.36653648838762254
2011-04-07,6.09712950158485e-16,0.1870378319443979,0.0,0.0,0.3607390566894103,0.0,3.583864162468725e-16,0.4522231113661914
2011-07-08,0.10779286490651316,0.15320004471776227,4.495962961530905e-17,2.4805312891204994e-17,0.2820986282020053,2.334651355521602e-16,6.942679912940368e-16,0.45690846217371855
2011-10-11,9.432626663259669e-16,0.20778847456050406,3.0791341698588326e-15,1.5276950711407e-15,0.5906677139770093,2.751657679923164e-15,1.654750013228845e-15,0.2015438114624766
2012-01-13,1.5454994153572346e-15,0.6336281753122127,3.845331651927596e-14,1.7058515606196592e-14,0.36637182468765156,3.054958192349172e-14,3.147496200118012e-14,1.672518061601233e-14
2012-04-18,2.3622312149115138e-15,0.5616246189693452,0.0,0.0,0.43837538103065815,0.0,0.0,0.0
2012-07-17,0.0,0.6369246162216298,1.5109956431328168e-15,3.8723062724576736e-16,0.36307538377836845,2.0943686672176375e-15,1.2431654082133652e-15,0.0
2012-10-18,0.18624339686103933,0.5620572614212372,0.0,0.0,0.2516993417177237,0.0,3.669257862500352e-16,0.0
2013-01-23,0.24071608277285172,0.14515764303559986,0.14894718385405528,5.595499649561908e-17,0.32177642207529517,0.008197829753769946,0.06363489146785653,0.07156994704057139
2013-04-26,0.23952205835556234,0.07162202543292902,0.17643938658822855,0.0,0.2546838553848462,0.0,8.965517529406966e-17,0.257732674238434
2013-07-25,0.0,0.21458774003358688,0.0,0.09557334172508486,0.33371925274774383,9.984760854762648e-17,0.11071974058680337,0.24539992490678098
2013-10-29,3.2400704298371497e-16,0.0,0.0,0.11451826221528286,0.1642064411868703,9.50553925935932e-16,0.0,0.7212752965978462
2014-01-29,1.4325868236911982e-16,0.16758293742466338,9.825243374970982e-17,0.08932111591003064,0.000581614574697602,0.0,4.922983805575773e-16,0.7425143320906079
2014-05-06,1.2002518237951592e-16,0.10199956855991762,0.0,0.30887549869891195,1.2115969865437353e-16,0.15078681478998643,1.0157386169413075e-16,0.43833811795118377
2014-08-04,0.0,2.5769545283725643e-16,0.10585230588989991,1.0055636336624152e-16,1.6262707349305681e-16,0.39594067233628566,1.610243514048315e-16,0.498207021773814
2014-11-12,0.04128254747197804,0.2898307004456217,0.13444136300950724,0.13126242018745227,0.0,0.24809004563486634,6.573867172870356e-16,0.15509292325057406
2015-02-11,0.34840910232530664,0.3050166500642162,0.09320429511968738,0.09557568045470517,0.0,0.11114777905522256,3.1726840320763326e-15,0.04664649298085939
2015-05-19,0.4793294600770682,0.3539615570590545,0.012827544111789406,0.0739306005789423,3.0916996857783896e-16,0.0,4.821419532472252e-16,0.0799508381731449
2015-08-14,0.5039569333951448,0.17581629597456444,0.0,0.3202267706302908,7.276379119997634e-17,5.579666908879838e-16,0.0,2.5001771855360054e-16
2015-11-19,0.955248491007107,0.044751508992914434,0.0,1.4327626686536566e-15,0.0,0.0,0.0,0.0
2016-02-19,3.400955246714126e-16,9.170815176552589e-16,0.0,2.9976021664879227e-15,0.0,0.0,0.9999999999999977,2.437179968242098e-17
2016-05-26,0.6193559072861627,0.0,2.8369451745564402e-15,0.3806440927138388,0.0,2.223125556301923e-15,0.0,0.0
2016-08-25,0.7111026317444497,9.496216880516912e-16,0.0,0.0,0.28889736825555157,0.0,0.0,9.820362420209425e-16
2016-11-30,0.8134856806792075,0.039217441719876976,0.0,0.0,0.0,0.0,0.14729687760091703,2.427964642285984e-16
2017-03-01,0.6972568776974783,0.0,0.027688273263660256,1.241721507958702e-16,0.06515277440516971,0.0,0.20990207463369184,1.9768439355716237e-16
2017-06-02,0.48315908997974855,0.18097347388839172,0.037617497486574114,1.918516840388366e-15,0.06911030255047562,0.035152122457288035,0.19398751363752073,0.0
2017-09-04,0.5046802375135663,0.1998267813717326,0.037288655874983215,0.0,1.4824500458309293e-16,0.0,0.25820432523971787,4.72539812858689e-16
2017-12-04,0.49050322765436655,0.1674095788681383,0.04884911969110437,0.0,3.1390829267007557e-16,0.0,0.202832295919388,0.09040577786700255
2018-03-07,0.3297858151450559,0.3162806873975252,9.264507563888635e-17,0.046209845399216735,0.0,2.4253602598500734e-16,0.18412404148899378,0.1235996105692086
2018-06-07,0.17597954179505454,0.3275222915913543,0.0,0.09908422644574243,0.0,1.6871797909457874e-16,0.23393520437338036,0.16347873579446892
2018-09-06,0.08086938642556632,0.12767625533821955,0.0,0.2656701612814037,0.01372766856309206,7.655483777284366e-18,0.23900429294883008,0.2730522354428884
2018-12-12,0.015558681900206631,0.40777437254535237,0.02715707053462796,0.21670493048420167,0.0,0.007569368844533542,0.06801541360086527,0.25722016209021276
2019-03-14,0.1722793543408899,0.25973572443104614,0.12480940179309485,0.07134007090792865,6.20748095395314e-18,2.6100854401520275e-16,0.18596591694521578,0.18586953158182448
