,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,ITC.NS,LT.NS
2011-01-06,0.12489020428548976,0.12383627193253244,0.12743320873094197,0.1245513543655023,0.12386311861192492,0.12516836352669922,0.12508825741631285,0.12516922113059656
2011-04-07,0.12515342498295398,0.12371288562340417,0.12700575668725103,0.12456043087688216,0.12430900798466864,0.12542051714185157,0.12476690655619699,0.12507107014679142
2011-07-08,0.1252237956585619,0.12402969818968874,0.1265347916380598,0.12450627342964854,0.12432127620105747,0.12550771006307435,0.12452566978593398,0.12535078503397523
2011-10-11,0.1251119250844154,0.12360725572349802,0.12616725208788643,0.12512440689353388,0.12409561897255214,0.12528923604390158,0.12513092577493784,0.1254733794192747
2012-01-13,0.12501785635338283,0.12333827721637712,0.12625384671703843,0.12517016739079145,0.12396921347224006,0.12546773430274633,0.12542101631866334,0.12536188822876043
2012-04-18,0.1248192840916,0.12314544186443532,0.12659382675281577,0.12522147016222532,0.12335352018486513,0.125827564610561,0.12574310799577773,0.12529578433771973
2012-07-17,0.12488112802536394,0.1228421350969424,0.12677069940666585,0.1253382587536211,0.12343066443454243,0.12599441466834452,0.12555237085852694,0.1251903287559928
2012-10-18,0.12478198506669591,0.12285994153692156,0.12746914741835597,0.1248779823763004,0.12313739632598149,0.126874319070267,0.12550634010987205,0.1244928880956056
2013-01-23,0.12456422221289411,0.122711836440754,0.12775714917629064,0.125287921964715,0.12284816287962537,0.12773358761948464,0.12476415445278459,0.1243329652534517
2013-04-26,0.12470397116974416,0.12290857786855208,0.1273533801754109,0.12621778909519443,0.12331780022980567,0.12747431981316124,0.12423505950623086,0.12378910214190064
2013-07-25,0.12476649682014873,0.1238356426844732,0.12658395310926077,0.125587776918629,0.12313064738951436,0.12704867266840728,0.12557173815578693,0.12347507225377977
2013-10-29,0.12580757764571612,0.12434069278128984,0.12645746004890618,0.12395278107190419,0.1243695915583298,0.1266689262717152,0.12499515599966213,0.12340781462247657
2014-01-29,0.12589549898476488,0.12420307806556989,0.12686625105209504,0.12356843110893924,0.12433330434664114,0.12669096084520265,0.12501057477776,0.12343190081902715
2014-05-06,0.12593271434286954,0.12427487460741686,0.12709402804919276,0.1229522483075384,0.12453270850139611,0.12658584470177756,0.12517809429155838,0.1234494871982504
2014-08-04,0.12608523609216354,0.12394388164576121,0.12759331540108274,0.12286081798096316,0.12450020236499795,0.12668973937479205,0.12516615138299458,0.12316065575724472
2014-11-12,0.12566939943126562,0.12268376218298195,0.1287355449007121,0.12277410598661853,0.12322566759122014,0.12747552554699595,0.12607491114183203,0.12336108321837373
2015-02-11,0.1251967227167613,0.12272823808833279,0.12806272717689965,0.12345636694416218,0.12308767095518977,0.1272893823777864,0.12662728314352348,0.12355160859734447
2015-05-19,0.1249040710863655,0.12355829476594192,0.1270079521019289,0.12417283246364279,0.12334297814400134,0.12700294177971763,0.12611101043802997,0.12389991922037193
2015-08-14,0.12444462854606902,0.12416434135782625,0.12722362700891834,0.12379741903583821,0.12376619623499331,0.1269339294884725,0.12604407142196414,0.12362578690591822
2015-11-19,0.12438751501946885,0.12372573655779666,0.127384498760202,0.12440273678891615,0.1239271815612757,0.12628795373325155,0.1262638427346058,0.12362053484448322
2016-02-19,0.12424328249178473,0.12365500638108046,0.12702452018822086,0.12471129567015861,0.12410452885661392,0.12632119469762298,0.12638435196043518,0.12355581975408324
2016-05-26,0.12397427618772859,0.12338782763541185,0.12761696529202504,0.1247409825535712,0.12486085682073576,0.1260835424869533,0.12559952483304823,0.12373602419052605
2016-08-25,0.12379766216867631,0.12314422209158199,0.12769916171691767,0.1247264658833276,0.124713534069333,0.12672554199304586,0.12519360580846375,0.1239998062686538
2016-11-30,0.12361425451030918,0.12330814975619327,0.1281084554711712,0.12449958159113743,0.12530410995886837,0.12680085450877282,0.12416555951787282,0.12419903468567488
2017-03-01,0.12336247792456742,0.12330245260974187,0.12885003955394397,0.12424206665414411,0.12578248205114054,0.12674579838351413,0.12329165746652977,0.12442302535641817
2017-06-02,0.1229192642369249,0.12356689574753027,0.12892539815990017,0.12391186642866733,0.12574687515872002,0.1276566927202959,0.123361259391998,0.12391174815596347
2017-09-04,0.12280125580911828,0.1236714506911842,0.1284550087117457,0.12435523049380975,0.12717007123791096,0.12589756447027306,0.12377879393181007,0.12387062465414794
