Universe,crisis_return,max_drawdown,volatility_spike,recovery_days,allocation_drift
soe,0.04546595538443231,-0.4363394994976193,1.364675607575063,,
private,0.5605921413559752,-0.39732395449659047,0.9882276593819741,,
combined,0.2689691846377736,-0.3913637320299717,1.0478303846175179,,
