,markowitz,black_litterman,equal_weight
2011-01-06,1.0000000000000007,1.0,1.0
2011-04-07,0.37929139616691177,0.06552795605803044,0.06535994619399409
2011-07-08,0.30641367503322003,0.0964475447318978,0.09765877538836232
2011-10-11,0.675263465100988,0.07760756854187074,0.07769279364187621
2012-01-13,0.7970171408438795,0.08581682839980657,0.08472847976452616
2012-04-18,0.09013870206896224,0.07423690453416616,0.07395231931334738
2012-07-17,0.14577910871501462,0.04416353359335563,0.04387567624453023
2012-10-18,0.37248679372207794,0.04450894387567697,0.04601493889404139
2013-01-23,0.7488426999389144,0.076547818581711,0.07614904332083793
2013-04-26,0.4354977271719131,0.07426446267964405,0.07411631263931975
2013-07-25,0.7736608089157093,0.16980809300308197,0.16861229516301152
2013-10-29,0.8593856609617231,0.10326071961156412,0.0992452498807231
2014-01-29,0.3653053961880849,0.041461761161272134,0.040997194236216505
2014-05-06,0.7624974993355211,0.09968332874247181,0.10034169102925626
2014-08-04,0.8016211507199464,0.057443349691810086,0.057878562330023184
2014-11-12,0.9694190838991977,0.05297925793687874,0.053596029822884195
2015-02-11,0.6049039714183371,0.08001182109740256,0.08067753362923474
2015-05-19,0.4227941041103729,0.04820921698907088,0.04733835034602851
2015-08-14,0.5143510338362797,0.052657149881301754,0.050272104952304275
2015-11-19,0.86417920573455,0.07140867694237603,0.07204093957250625
2016-02-19,1.999999999999996,0.09629120468488625,0.09644538191566347
2016-05-26,1.9999999999999996,0.05102028296825599,0.052670663947377086
2016-08-25,0.6681448916767662,0.049211594413368545,0.04881330763622145
2016-11-30,0.5729823894119084,0.03610494927043639,0.034523339510117226
2017-03-01,0.2964484897811406,0.05008807502825138,0.049025061146495685
2017-06-02,0.45451911573342535,0.0703443677522396,0.07222772245066465
2017-09-04,0.1769413398982081,0.07842421712291023,0.07925904998011492
2017-12-04,0.20682272132691995,0.042046120630254466,0.039611863886739235
2018-03-07,0.4261602013993009,0.05972240493643112,0.061778902212504205
2018-06-07,0.31823330903016656,0.049193589876797006,0.05073443637890662
2018-09-06,0.5453099801150174,0.08077364690058654,0.07937299629680286
2018-12-12,0.5876204761659534,0.07162413853656009,0.06347467837991132
2019-03-14,0.7092347533911454,0.05561520791910193,0.056080738114315784
2019-06-20,0.6102392991277231,0.050375842061922665,0.05019461843587758
2019-09-23,0.785660680243201,0.05715301658917399,0.05770294606377943
2019-12-26,0.9494208591868369,0.1028447871765585,0.10068341579429145
2020-03-26,2.0000000000000084,0.16323732457041273,0.17030098312084052
2020-07-01,1.1987754701136077,0.08538201029798878,0.08381478837956943
2020-09-28,0.660827004697204,0.13758005227550357,0.13816285765543332
2020-12-29,1.6201317619370896,0.10866122640124559,0.10858295033853688
2021-03-31,1.0842363144786915,0.03422510354805709,0.03725102168509083
2021-07-02,0.6871072238669009,0.03797626163507126,0.036503517911562214
2021-10-04,0.585752521103537,0.03404505342849802,0.0344597740741818
2022-01-04,0.6372339992780067,0.08639502305867161,0.08494340394447975
2022-04-06,0.604003215215867,0.07284939820883393,0.07275961896924486
2022-07-07,1.403457185213524,0.11987702058245751,0.11834789257262482
2022-10-10,0.35084643450726005,0.09107703627903854,0.09023405379027571
2023-01-09,0.4723397922586674,0.035195267989777845,0.0357850377042051
2023-04-13,0.35915295861909735,0.05851768515383393,0.057050946205901065
2023-07-14,0.53817644351051,0.05815777109855583,0.05768641390079121
2023-10-16,0.5281343974223935,0.07965779631133911,0.07979342173432045
2024-01-17,0.10729290803853667,0.04281879953741588,0.04304258069156215
2024-04-24,0.9581802671860415,0.07494821819654511,0.07453910454662398
2024-07-26,0.7091730517682375,0.0726758334119302,0.06314476689779012
2024-10-25,1.0019216844411152,0.05720684583273472,0.05596189694725126
