Category,Model,Expected Return,Volatility,Sharpe Ratio,Max Drawdown,VaR (95%),CVaR (95%),Performance Type
Static In-Sample Optimization,Markowitz,0.46124188123708026,0.3298191644540231,1.3075100773811934,-0.43501487757904855,-0.03275863624619341,-0.04651435711979544,Gross
Static In-Sample Optimization,Black Litterman,1.855369322413489,0.30273069289082166,6.029680390127471,-0.42224333347437876,-0.030537926183154998,-0.04325005936726384,Gross
Static In-Sample Optimization,Equal Weight,1.8285693541611638,0.29895064104876556,6.016275288293417,-0.41827191223433585,-0.030201945461416742,-0.04280738656926214,Gross
Rolling Out-of-Sample Backtest,Markowitz,0.49800095292232643,0.3972481429523157,1.2536268872680538,-0.43071676355639926,-0.03758007510204443,-0.05131140274809552,Gross
Rolling Out-of-Sample Backtest,Markowitz,0.4932760342488595,0.3972097044430401,1.2418529273863583,-0.43509263603736176,-0.03758007510204443,-0.05131140274809552,Net (After Costs)
Rolling Out-of-Sample Backtest,Black Litterman,0.3871109119111423,0.37736242256521024,1.0258332275897117,-0.46409116986031757,-0.03696448546010069,-0.05009673456149621,Gross
Rolling Out-of-Sample Backtest,Black Litterman,0.38177381394617105,0.37746920917535726,1.011403856701896,-0.46838864449990614,-0.03710981980656333,-0.05014435360911526,Net (After Costs)
Rolling Out-of-Sample Backtest,Equal Weight,0.3611310135940019,0.31264741348652353,1.1550743681734257,-0.4182719122343367,-0.030890739164279635,-0.044278183002127394,Gross
Rolling Out-of-Sample Backtest,Equal Weight,0.3608302976035484,0.3126602086900772,1.1540653002033257,-0.41827191223433663,-0.030890739164279635,-0.044278183002127394,Net (After Costs)
