Metric,BL,MW,ShanghaiComp
Net Annual Return,0.1934664830293347,0.17160095971195058,0.03634575027839712
Sharpe Ratio,0.6689349896393681,0.5630123179173057,0.21614806761508423
Information Ratio,0.654225934521468,0.530322703333489,0.0
Max Drawdown,-0.395479246658589,-0.451929713958763,-0.27270097638636354
