,markowitz,black_litterman,equal_weight
2019-06-28,1.0000000000000002,1.0,1.0
2019-09-26,1.173677458700094,0.06430828154464616,0.0650729982900123
2019-12-31,0.5946125781103431,0.1147166925989481,0.11430333504921968
2020-04-08,1.1042936632208864,0.1436082182981088,0.14488786374458879
2020-07-13,0.5740178137256758,0.14848738034212053,0.14939429068215904
2020-10-16,0.9079335467541703,0.13313352703787873,0.1338925379129215
2021-01-14,0.6551153080918841,0.12160775530809236,0.12211950795514542
2021-04-21,0.5205563249927798,0.11086004737633755,0.11043193195686064
2021-07-23,0.41345939487348304,0.21134476577783146,0.2116987667200615
2021-10-29,0.5808469436808352,0.144073542236621,0.14336755501377632
2022-01-27,0.726178635054366,0.08746089084679849,0.08728055656007741
2022-05-10,1.9999999999999951,0.10883101776792238,0.10828250254348254
2022-08-08,1.433521984307552e-14,0.1334457397613814,0.13348724035388598
2022-11-11,2.6849164174231193e-15,0.11533900832228947,0.11493190581004505
2023-02-16,1.309542772350765,0.06686957105687084,0.06741097025600301
2023-05-22,1.5327741472364784,0.09299338213340652,0.09285308700004549
2023-08-21,1.4855315635489932,0.061519404913251446,0.06229639328124037
2023-11-24,1.788525041123513,0.07164345430564499,0.0710604500126661
2024-03-01,0.4855721108749631,0.10591323647752063,0.1030006806923735
2024-06-05,0.4106500663857329,0.08365827171385175,0.08670949375337554
2024-09-03,0.3580734161485717,0.09440644187384539,0.09474820393984118
2024-12-10,0.7297948330636964,0.2594265187360337,0.2601483682713597
