,000651.SZ,000333.SZ,000858.SZ,002594.SZ,300750.SZ,600276.SS,600309.SS,300059.SZ
2019-06-28,0.0,1.611578544617846e-16,0.3873613223651304,1.4554165707101521e-16,0.6126386776348692,3.6279035237368405e-16,4.452345041094844e-17,0.0
2019-09-26,0.2054694037391375,0.0,0.6930104507583282,8.872981869659906e-17,1.576119005927445e-16,0.10152014550253428,0.0,3.724351141556232e-16
2019-12-31,0.16602965603998276,0.0,0.43311071368144816,1.5047444321765174e-15,0.047008400235040645,0.19538465591274434,0.15846657413078336,0.0
2020-04-08,0.0,2.1099926442575564e-16,0.15688164043726244,1.827915848057441e-16,0.2142209867952813,0.6288973727674562,0.0,2.5328184364672954e-16
2020-07-13,2.2285013325787015e-17,7.818749377867633e-17,0.11349173086997058,0.0,0.3877657476287425,0.3494259073669471,5.154830758752858e-17,0.14931661413433958
2020-10-16,1.355649762300906e-16,0.0,0.15876968044402986,0.25235929554259245,0.40805013853276023,3.56407112007376e-17,0.16610739636222033,0.014713489118397037
2021-01-14,6.255701216151347e-16,0.03920812831373846,0.20785020103818896,0.3787376907490399,0.13047813139340833,0.01924165273319421,0.10879603572252441,0.11568816004990519
2021-04-21,1.2658060363768264e-16,0.03989167414370935,0.203607173979363,0.22234329649208417,0.14235353879998622,1.525303050097654e-16,0.3895623371626618,0.0022419794221950127
2021-07-23,5.006455766521921e-17,6.357334472547064e-17,1.5418623690808173e-16,0.26209334556277664,0.2893119782724227,6.881496282407914e-17,0.4485946761648007,0.0
2021-10-29,4.147542214285794e-17,0.0,0.0,0.31611553803257414,0.5989478043155947,2.938782773341119e-16,0.08493665765183088,8.167827912488824e-18
2022-01-27,1.0269562977782698e-15,1.1379786002407855e-15,0.0,0.0,0.9999999999999979,3.219646771412954e-15,0.0,0.0
2022-05-10,2.8171909249863347e-15,6.661338147750939e-16,9.853229343548264e-16,0.9999999999999974,0.0,3.4555691641457997e-15,9.298117831235686e-16,0.0
2022-08-08,0.0,3.0531133177191805e-16,0.0,1.0,5.273559366969494e-16,0.0,3.0531133177191805e-16,0.0
2022-11-11,0.0,0.0,0.0,1.0,1.7563595397839108e-16,0.0,6.999374389859394e-16,6.170602866453652e-16
2023-02-16,8.539065980528511e-16,0.0,0.0,0.3452286138246174,0.0,0.16888813998730084,0.4858832461880823,0.0
2023-05-22,0.14298435834658757,2.0391765234642978e-16,3.6169456508662643e-16,0.03474071398788405,0.05817377029443415,0.7641011573710939,3.340821998710101e-16,0.0
2023-08-21,0.6772146995546273,1.614692364110768e-16,0.0,4.995263414590269e-16,0.0,0.08427095479151925,0.23851434565385368,0.0
2023-11-24,0.0,0.7037060743700561,1.3380617878859438e-16,9.777617774173897e-17,0.0,0.29629392562994394,4.763771506253014e-16,3.637841678255446e-16
2024-03-01,0.15123054781004777,0.8487694521899516,1.0049913589257402e-15,3.9212747728495685e-16,0.0,0.0,0.0,1.686255751540398e-15
2024-06-05,0.3549322244469011,0.6450677755530988,0.0,0.0,0.0,1.1350511973342924e-16,4.213417499937706e-16,0.0
2024-09-03,0.27454357711335514,0.5464197148123594,1.2312378808883689e-15,0.0,6.457708196405433e-16,0.17903670807428487,2.4037438363545897e-16,0.0
2024-12-10,0.08036130931496041,0.5698955643752215,2.281500184088403e-16,0.0,0.09643229811104,0.0,5.497347839765641e-17,0.2533108281987783
