,universe,annualized_net_return,annualized_volatility,sharpe,information_ratio,max_drawdown,cvar95,average_turnover,asi,herfindahl
0,soe,0.11494726179044022,0.20509880469526684,0.41417726405891914,,-0.43629542735461985,-0.029943703297956672,0.0731685897834088,0.003136713606188062,0.12501560555812677
1,private,0.22959099198471483,0.2563621377354462,0.7785509738208044,,-0.39106195180089925,-0.034625018970435406,0.15789304436483922,0.001840170356412422,0.12500472667438822
2,combined,0.18097578101696235,0.1783833509685215,0.84635578487145,,-0.16157605635165043,-0.024071038158133114,0.15332720592259183,0.007602050102348053,0.06255375655168757
