Model,Sharpe,Alpha,Turnover,Max Drawdown
Black-Litterman,0.3982829523280465,-0.0001695058359621942,0.0006201468225000654,-0.35120106306365306
Markowitz,0.23770685615717024,-0.0002927953958817036,0.012095412290946609,-0.5563422511691601
