Model,Alpha,Alpha_t_stat,R_squared,MKT_beta,MKT_t_stat,SMB_beta,SMB_t_stat,HML_beta,HML_t_stat,MOM_beta,MOM_t_stat,P_value_Alpha
Black-Litterman,-0.0001695058359621942,-1.2129052381814611,0.6345654841225903,0.8211807256258132,65.13374179920135,-0.0773372425096256,-3.474859891622735,0.05632813261775143,3.4015269479654173,0.0046161323139361065,0.33241310432728016,0.22527848862681085
Markowitz,-0.0002927953958817036,-1.4183778524150064,0.48601088314605545,0.9039807998737647,48.54136323326434,-0.11381960521730028,-3.462192184606904,0.06135812238843246,2.508453790247687,0.0637693853028527,3.10883447753797,0.15620277134239935
