Model,Sharpe,Alpha,Turnover,Max Drawdown
Black-Litterman,0.3982827526271799,-0.0001695060597910325,0.0006201464288977449,-0.35120116560244385
Markowitz,0.2377062498558989,-0.0002927960478811516,0.012095420845142816,-0.5563425621961304
