Model,Alpha,Alpha_t_stat,R_squared,MKT_beta,MKT_t_stat,SMB_beta,SMB_t_stat,HML_beta,HML_t_stat,MOM_beta,MOM_t_stat,P_value_Alpha
Black-Litterman,-0.00016950584353241818,-1.2129052611789597,0.6345655297511653,0.8211808610048804,65.13375086315814,-0.07733725745581833,-3.4748604738705433,0.05632838215398942,3.4015419294682263,0.004616351199604233,0.3324288579976933,0.22527847983474178
Markowitz,-0.0002927952560675615,-1.4183771634067093,0.48601091387754014,0.9039808481990312,48.54136542738605,-0.11381924227325482,-3.462181115899476,0.061358578575857727,2.5084724194710217,0.06376940548632794,3.108835435836417,0.1562029723753327
