Model,Sharpe,Alpha,Turnover,Max Drawdown
Black-Litterman,0.3982829975960776,-0.00016950584353241818,0.0006201468086853657,-0.35120111332865583
Markowitz,0.23770695704391184,-0.0002927952560675615,0.01209541559002563,-0.5563422257898278
