Model,Alpha,Alpha_t_stat,R_squared,MKT_beta,SMB_beta,HML_beta,MOM_beta,P_value_Alpha
Black-Litterman,-0.0001674373726190165,-1.1925710950765083,0.6313582139833219,0.8190803098596459,-0.07681798156373486,0.056506758793104885,0.0031599994191126263,0.23314843732336163
Markowitz,-5.762551186070228e-05,-3.5406579709954893,0.9945232604850202,0.9780776712115726,-0.12450433650981299,0.01676972493939048,-0.005536866691081422,0.0004062843890524702
