Crisis,Market,Model,Max Drawdown,Volatility Spike,Recovery Time
2008_US_GFC,United States,Black-Litterman,-62.57%,1.94x,1093 days
2008_US_GFC,United States,Markowitz,-62.18%,1.93x,1056 days
2015_China_Crash,China,Black-Litterman,-43.42%,1.92x,458 days
2015_China_Crash,China,Markowitz,-43.82%,1.95x,459 days
2020_India_Covid,India,Black-Litterman,-47.44%,3.39x,176 days
2020_India_Covid,India,Markowitz,-47.48%,3.40x,176 days
