Model,Sharpe,Alpha,Turnover,Max Drawdown
Black-Litterman,0.39932493524281454,-0.00016743732854593708,0.0003916960438699569,-0.3509409297027209
Markowitz,0.6947711371417155,-5.762556124152142e-05,0.0003916960438699569,-0.35745874362084434
